"publisher","journal_name","issn","type_colection","type","SJR_2015","JCR_2014"
"Academic Knowledge and Research Publishing","Academic Open Archaeology Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Sociological Science Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Educational Sustainability, Management & Leadership Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Ideology Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Developing Country Education Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Media & Mass Communication Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Library Administration Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Languages & Culture Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Studies & Development Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Social Science & Geography Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open History Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Modern Language Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Leadership Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open Arts Research Journal","Pending","manual","publisher",NA,NA
"Academic Knowledge and Research Publishing","Academic Open NGO Research Journal","Pending","manual","publisher",NA,NA
"Academic Organization for Advancement of Strategic and International Studies","Journal of Strategic and International Studies (JSIS)","2326-3636","manual","publisher",NA,NA
"Academic Organization for Advancement of Strategic and International Studies","Journal of Organizational Advancement, Strategic and Institutional Studies (JOASIS)","2326-8085","manual","publisher",NA,NA
"Academic Organization for Advancement of Strategic and International Studies","Journal of Psychology and Social Studies (JPSS)","2327- 7017 ","manual","publisher",NA,NA
"Academic Organization for Advancement of Strategic and International Studies","Journal of Academy for Advancement of Business Research (JAABR)",NA,"manual","publisher",NA,NA
"Academic Publications, Ltd.","International Journal of Pure and Applied Mathematic","1314-3395","manual","publisher",NA,NA
"Academic Publications, Ltd.","International Journal of Pure and Applied Mathematic","1311-8080","manual","publisher",0.299,NA
"Academic Publications, Ltd.","International Electronic Journal of Pure and Applied Mathematic","1314-0744","manual","publisher",NA,NA
"Academic Publications, Ltd.","International Journal of Differential Equations and Applications","1311-2872","manual","publisher",NA,NA
"Academic Publications, Ltd.","International Journal of Applied Mathematics","1314-8060","manual","publisher",NA,NA
"Academic Publications, Ltd.","International Journal of Applied Mathematics","1311-1728","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Geology, Geography & Agricultural Reasearch","2455-MAKK","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Social Sciences & Economic Environment","2455-MNDT","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Social Sciences & Economic Environment","2455-MISY","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Mass Communication, Journalism and Politics","2349-WTOP","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Mass Communication, Journalism and Politics","2349-GTSU","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Communication, Languages and Literature","2455-MYWX","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Mechanical Engineering & Computer Sciences","2455-WYGY","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Mechanical Engineering & Computer Sciences","2455-SITW","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Medical Sciences & Pharmaceutical Research","2349-MTUX","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Medical Sciences & Pharmaceutical Research","2349-BTYE","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Chemistry, Chemical Engineering & Biotechnology","2455-TSZY","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Chemistry, Chemical Engineering & Biotechnology","2455-LKYR","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of production and Supply chain Management","2349-MVTN","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of production and Supply chain Management","2349-JURS","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of e-government and e-Business Research","2255-ZXMI","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of e-government and e-Business Research","2455-KLSU","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Civil Engineering , Architecture, and Design","2455-WZXY","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Civil Engineering , Architecture, and Design","2455-VUXN","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Pure & Applied Mathematical Research.","2455-NKMN","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Pure & Applied Mathematical Research.","2349-CTYS","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Banking, Finance and Digital Marketing.","2455-XXZZ","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Banking, Finance and Digital Marketing.","2455-MBYT","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Human Resource & Industrial Research.","2349-359","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Human Resource & Industrial Research.","2349-4816","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Advances in Engineering & Scientific Research.","2349-3607","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Advances in Engineering & Scientific Research.","2349-4824","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Education and Applied Sciences Research.","2349-2899","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Education and Applied Sciences Research.","2349-4808","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Marketing & Financial Management.","2348-3954","manual","publisher",NA,NA
"Academic Research in Science, Engineering, Art and Management (ARSEAM)","International Journal of Marketing & Financial Management.","2349-2546","manual","publisher",NA,NA
"Academic Research Journals"," International Journal of Economic and Business Management","2384-6151","manual","publisher",NA,NA
"Academic Research Journals","International Journal  of English Literature and Culture","2360-7831","manual","publisher",NA,NA
"Academic Research Journals","International Journal of Political Science and Development ","2360-784X","manual","publisher",NA,NA
"Academic Research Journals","International Journal of Academic Library and Information Science  ","2360-7858","manual","publisher",NA,NA
"Academic Research Journals"," International Journal of Academic Research in Education and Review ","2360-7866","manual","publisher",NA,NA
"Academic Research Journals","Academic Research Journal of Biotechnology ","2384-616X","manual","publisher",NA,NA
"Academic Research Journals","Academic Research Journal of Agricultural Science and Research","2360-7874","manual","publisher",NA,NA
"Academic Research Journals","Academic Research Journal of Psychology and Counselling","2384-6178","manual","publisher",NA,NA
"Academic Research Journals","Academic Research Journal of History and Culture ","2437-2196","manual","publisher",NA,NA
"Academic Research Journals","Academic Research Journal of Biological Sciences and Medicinal Plants",NA,"manual","publisher",NA,NA
"Academic Reasearch Publishers (ARPUB)","International Academic Research Journal of Applied Sciences (IARJAS)",NA,"manual","publisher",NA,NA
"Academic Reasearch Publishers (ARPUB)","International Academic Research Journal of Computer Science and Information Technology (IARJCSIT)",NA,"manual","publisher",NA,NA
"Academic Reasearch Publishers (ARPUB)","International Academic Research Journal of Engineering Sciences (IARJES)","2414-6242","manual","publisher",NA,NA
"Academic Reasearch Publishers (ARPUB)","International Academic Research Journal of Medical Sciences (IARJMS)","2413-8304","manual","publisher",NA,NA
"Academic Reasearch Publishers (ARPUB)","International Academic Research Journal of Business Management (IARJBM)","2227-1287","manual","publisher",NA,NA
"Academic Reasearch Publishers (ARPUB)","International Academic Research Journal of Economics and Finance (IARJEF)","2227-6254","manual","publisher",NA,NA
"Academic Research Publishing Agency","International Journal of Research and Reviews in Applied Sciences","2076-734X","manual","publisher",NA,NA
"Academic Research Publishing Agency","International Journal of Research and Reviews in Applied Sciences","2076-7366","manual","publisher",NA,NA
"Academic Research Publishing Agency","Journal of Pharmacy and Clinical Sciences","2222-761X","manual","publisher",NA,NA
"Academic Research Publishing Agency","Journal of Pharmacy and Clinical Sciences","2222-7903","manual","publisher",NA,NA
"Academic Research Publishing Group","International Journal of Economics and Financial Research"," 2411-9407","manual","publisher",NA,NA
"Academic Research Publishing Group","International Journal of Economics and Financial Research","2413-8533","manual","publisher",NA,NA
"Academic Research Publishing Group","Business, Management and Economics Research","2412-1770","manual","publisher",NA,NA
"Academic Research Publishing Group","Business, Management and Economics Research","2413-855X","manual","publisher",NA,NA
"Academic Research Publishing Group","Scientific Review","2412-2599","manual","publisher",NA,NA
"Academic Research Publishing Group","Scientific Review","2413-8835","manual","publisher",NA,NA
"Academic Research Publishing Group","International Journal of Healthcare and Medical Sciences","2414-2999","manual","publisher",NA,NA
"Academic Research Publishing Group","International Journal of Healthcare and Medical Sciences","2415-5233","manual","publisher",NA,NA
"Academic Research Publishing Group","Research Journal of Education","2413-0540","manual","publisher",NA,NA
"Academic Research Publishing Group","Research Journal of Education","2413-8886","manual","publisher",NA,NA
"Academic Research Publishing Group","Academic Journal of Applied Mathematical Sciences","2415-2188","manual","publisher",NA,NA
"Academic Research Publishing Group","Academic Journal of Applied Mathematical Sciences","2415-5225","manual","publisher",NA,NA
"Academic Research Publishing Group","Academic Journal of Computer and Electronics",NA,"manual","publisher",NA,NA
"Academic Research Publishing Group","The Journal of Social Sciences Research","2411-9458","manual","publisher",NA,NA
"Academic Research Publishing Group","The Journal of Social Sciences Research","2413-6670","manual","publisher",NA,NA
"Academic Research Publishing Group","English Literature and Language Review","2412-1703","manual","publisher",NA,NA
"Academic Research Publishing Group","English Literature and Language Review","2413-8827","manual","publisher",NA,NA
"Academic Research Publishing Group","International Journal of World Policy and Development Studies","2415-2331","manual","publisher",NA,NA
"Academic Research Publishing Group","International Journal of World Policy and Development Studies","2415-5241","manual","publisher",NA,NA
"Academic Research Publishing Group","Journal of Agriculture and Crops","2412-6381","manual","publisher",NA,NA
"Academic Research Publishing Group","Journal of Agriculture and Crops","2413-886X","manual","publisher",NA,NA
"Academic Research Publishing Group","Journal of Biotechnology Research","2413-3256","manual","publisher",NA,NA
"Academic Research Publishing Group","Journal of Biotechnology Research","2413-8878","manual","publisher",NA,NA
"Academic Research Publishing Group","Academic Journal of Life Sciences","2415-2137","manual","publisher",NA,NA
"Academic Research Publishing Group","Academic Journal of Life Sciences","2415-5217","manual","publisher",NA,NA
"Academic Research Publishing Group","Academic Journal of Chemistry",NA,"manual","publisher",NA,NA
"Academic Research Publishing House",NA,NA,"manual","publisher",NA,NA
"Innovare Academic Sciencies","International Journal of Applied Pharmaceutics","0975-7058","manual","publisher",0.194,NA
"Innovare Academic Sciencies","International Journal of Pharmacy and Pharmaceutical Sciences","0975-1491","manual","publisher",0.282,NA
"Innovare Academic Sciencies","International Journal of Applied Pharmaceutics","0975-7058","manual","publisher",0.194,NA
"Innovare Academic Sciencies","Asian Journal of Pharmaceutical & Clinical Research","0974-2441","manual","publisher",0.326,NA
"Innovare Academic Sciencies","International Journal of Current Pharma Research","0975-7066","manual","publisher",NA,NA
"Innovare Academic Sciencies","Journal of Critical Reviews","2394-5125","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Sciences","2321-5496","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Medical Sciences","2321-4406","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Ayurvedic Sciences","2321-6824","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Health Sciences","2347-5536","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Engineering & Technology","2347-1573","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Social Sciences","2347-5544","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Business Management","2321-6816","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Education","2347-5528","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Agricultural Science","2321-6832","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Life Science","2321-550X","manual","publisher",NA,NA
"Innovare Academic Sciencies","Innovare Journal of Food Science",NA,"manual","publisher",NA,NA
"Innovare Academic Sciencies","International Journal of Chemistry Research","0976-5689","manual","publisher",NA,NA
"Academic Star Publishing Company","Journal of Modern Civil Engineering",NA,"manual","publisher",NA,NA
"Academic Star Publishing Company","Modern Agricultural Science and Technology","2375-9402","manual","publisher",NA,NA
"Academic Star Publishing Company","Journal of Business and Economics","2155-7950","manual","publisher",NA,NA
"Academic Star Publishing Company","Modern Chemistry and Chemical Engineering","2375-9291","manual","publisher",NA,NA
"Academic Star Publishing Company","Modern Environmental Science and Engineering","2333-2581","manual","publisher",NA,NA
"Academic Star Publishing Company","Journal of Modern Education Review","2155-7993","manual","publisher",NA,NA
"Academic Web Publishers (AWP)","Academic Web Journal of Educational Research ",NA,"manual","publisher",NA,NA
"Academic Web Publishers (AWP)","Academic Web Journal of Agricultural Research",NA,"manual","publisher",NA,NA
"Academic Web Publishers (AWP)","Academic Web Journal of Business Management ",NA,"manual","publisher",NA,NA
"Academic Web Publishers (AWP)","  Academic Web Journal of Biotechnology ",NA,"manual","publisher",NA,NA
"Academic Web Publishers (AWP)","Academic Web Journal of Scientific Research ",NA,"manual","publisher",NA,NA
"Academic Web Publishers (AWP)","Academic Web Journal of Medical Science ",NA,"manual","publisher",NA,NA
"Academic Web Publishers (AWP)","Academic Web Journal of Environmental Science. ",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal of Foreign Language Teaching",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal on Technology"," 2147-5369","manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal on Humanities and Social Sciences",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal on Advances Pure and Applied Sciences",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal of Computer Science",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal of Information Technology",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal of Business, Economics and Management",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal of Arts Education",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal of Guidance and Counselling",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal of Psychology Research",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Global Journal of Sociology",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","World Journal of Environmental Research",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Contemporary Educational Researches Journal",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","International Journal of Learning and Teaching",NA,"manual","publisher",NA,NA
"Academic World Education & Reasearch Center","World Journal on Educational Technology","1309-0348","manual","publisher",NA,NA
"Academic World Education & Reasearch Center","Cypriot Journal of Educational Sciences","1305-905X","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research Studies in Agricultural Sciences (IJRSAS)","2454–6224","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Innovative Studies in Aquatic Biology and Fisheries (IJISABF)","2454-7670","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Innovative Studies in Aquatic Biology and Fisheries (IJISABF)","2454-7662","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Forestry and Horticulture (IJFH)","2454-9487","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Managerial Studies and Research (IJMSR)","2349-0349","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Managerial Studies and Research (IJMSR)","2349-0330","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Advanced Research in Chemical Science (IJARCS)","2349-0403","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Advanced Research in Chemical Science (IJARCS)","2349-039X ","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Medicinal Plants and Natural Products (IJMPNP)","2454-7999","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Clinical Chemistry and Laboratory Medicine (IJCCLM)","2455-7153","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Innovative Research in Electronics and Communications (IJIREC)","2349-4050","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Innovative Research in Electronics and Communications (IJIREC)","2349-4042","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research Studies in Computer Science and Engineering (IJRSCSE)","2349-4859","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research Studies in Computer Science and Engineering (IJRSCSE)","2349-4840","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research Studies in Electrical and Electronics Engineering (IJRSEEE)","2454-9436","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Modern Studies in Mechanical Engineering (IJMSME)","2454-9711","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Petroleum and Petrochemical Engineering (IJPPE)","2454-7980","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Constructive Research in Civil Engineering (IJCRCE)","2454-8693","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Mining Science (IJMS)","2454-9460","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal on Studies in English Language and Literature (IJSELL)","2347-3134","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal on Studies in English Language and Literature (IJSELL)","2347-3126","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Humanities, Social Sciences and Education (IJHSSE)","2349-0381","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Humanities, Social Sciences and Education (IJHSSE)","2349-0373 ","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of History and Cultural Studies (IJHCS)","2454-7654","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of History and Cultural Studies (IJHCS)","2454-7646","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Political Science (IJPS)","2454-9452","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Media, Journalism and Mass Communications (IJMJMC)","2454-9479","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research in Tourism and Hospitality (IJRTH)","2455-0043","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research in Geography (IJRG)","2454-8685","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research in Sociology and Anthropology (IJRSA)","2454-8677","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Sports and Physical Education (IJSPE)","2454-6380","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research Studies in Biosciences (IJRSB)","2349-0365","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research Studies in Biosciences (IJRSB)","2349-0357 ","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research Studies in Zoology (IJRSZ)","2454-941X","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research in Environmental Science (IJRES)","2454-9444","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Advanced Research in Botany (IJARB)","2455-4316","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Research Studies in Microbiology and Biotechnology (IJRSMB)","2454-9428","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Scientific and Innovative Mathematical Research (IJSIMR)","2347-3142","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Scientific and Innovative Mathematical Research (IJSIMR)","2347-307X","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Anesthesiology","2455-9792","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Addiction",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of AIDS",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Cardiology","2455-5991","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Clinical Case Reports","2455-9806","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Cancer Science","2455-6009","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Dermatology","2456-0022","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Diabetes and Endocrinology","2455-5983","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Dental Science","2456-0030","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Forensic Science","2456-0049","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Hepatology and Gastroenterology",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Gynecology and Obstetrics","2456-0561","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Hematology",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Immunology and Vaccines",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Nephrology",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Neuroscience","2456-057X","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Orthopedics","2456-0588","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Ophthalmology",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Psychiatry",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Pediatrics","2455-5711","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Public Health and Community Medicine","2456-0596","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Radiology and Medical Imaging",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Surgery","2455-572X","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Research in Sports Medicine",NA,"manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Urology"," 2456-060X","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Animal and Veterinary Sciences"," 2455-2518","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Nursing and Healthcare","2455-4324","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Nutrition and Growth","2455-2550","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","ARC Journal of Pharmaceutical Sciences (AJPS)","2455-1538","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Advanced Research in Physical Science (IJARPS)","2349-7882","manual","publisher",NA,NA
"Academicians’ Research Center (ARC)","International Journal of Advanced Research in Physical Science (IJARPS)","2349-7874","manual","publisher",NA,NA
"Academics World","International Journal of Applied Research in Business Administration and Economics","1839-845","manual","publisher",NA,NA
"Academics World","Journal of Human and Social Science Reasearch","2331-4974","manual","publisher",NA,NA
"Academics World","International Journal of Dental and Medical Speciality","2394-4196 ","manual","publisher",NA,NA
"Academics World","International Journal of Dental and Medical Speciality","2350-0921","manual","publisher",NA,NA
"Academics World","International Journal of Scientific Research in Information System and Engineering","2380-5579","manual","publisher",NA,NA
"Academics World","International Journal of Scientific Research in Information System and Engineering"," 2380-8128","manual","publisher",NA,NA
"Academics World","Journal of Human and Social Science Reasearch","2326-7291","manual","publisher",NA,NA
"Academics World","International Journal of Information Science and Computing","2348-7437","manual","publisher",NA,NA
"Academics World","International Journal of Advanced Computer Research","2277-7970 ","manual","publisher",NA,NA
"Academics World","International Journal of Advanced Computer Research","2249-7277   ","manual","publisher",NA,NA
"Academics World","International Journal of Advanced Technology and Engineering Exploration","2394-7454","manual","publisher",NA,NA
"Academics World","International Journal of Advanced Technology and Engineering Exploration","2394-5443  ","manual","publisher",NA,NA
"Academics World","International Research and Publications in Medical Sciencies","2395-3950","manual","publisher",NA,NA
"Academics World","International Research and Publications in Medical Sciencies","2395-440X","manual","publisher",NA,NA
"Academics World","International Journal of Pharmacology and Pharmaceutical Sciencies","2394-613X","manual","publisher",NA,NA
"Academics World","International Journal of Medical Research Professionals ","2454-6364","manual","publisher",NA,NA
"Academics World","International Journal of Medical Research Professionals ","2454-6356","manual","publisher",NA,NA
"Academics World","The Global Journal of Agricultural Economics, Extension and Rural Development","2408-5480","manual","publisher",NA,NA
"Academics World","International Journal of Agriculture and Crop Sciences","2227-670X","manual","publisher",NA,NA
"Academics World","International Journal of Automotive Engineering and Technologies","2146-9067","manual","publisher",NA,NA
"Academics World","International Journal of Environmental Problems Scientific Journal","2410-9339","manual","publisher",NA,NA
"Academics World","Mechanical Engineering Series","0941-5122","manual","publisher",NA,NA
"Academy for Environment and Life Sciences","International Online Journal- Bulletin of Environment, Pharmacology and Life Sciences [BEPLS]",NA,"manual","publisher",NA,NA
"Academy for Environment and Life Sciences","Research Journal of Chemical and Environmental Sciences [RJCES]","2321-1040","manual","publisher",NA,NA
"Academy Journals","Applied Remote Sensing Journal ",NA,"manual","publisher",NA,NA
"Academy Journals","Food Science Journal ",NA,"manual","publisher",NA,NA
"Academy Journals","Journal Cell & Plant Sciences","1309-7261","manual","publisher",NA,NA
"Academy Journals","Journal of Plant Molecular Biology & Biotechnology",NA,"manual","publisher",NA,NA
"Academy Journals","Journal of GIS Trends",NA,"manual","publisher",NA,NA
"Academy Journals","Journal of  Natural & Environmental Sciences","1309-7474","manual","publisher",NA,NA
"Academy Journals","Journal of AgroCrop Science",NA,"manual","publisher",NA,NA
"Academy Journals","Trends in Animal and Veterinary Sciences Journal",NA,"manual","publisher",NA,NA
"Academy Journals","Journal of Plant Genetics & Transgenics",NA,"manual","publisher",NA,NA
"Academy Journals","Journal of Biology & Life Sciences ",NA,"manual","publisher",NA,NA
"Academy Journals","Trends in Soil Science and Plant Nutrition Journal ",NA,"manual","publisher",NA,NA
"Academy Journals","International Journal of Health & Nutrition","1309-8071","manual","publisher",NA,NA
"Academy Journals","Journal of Health Behaviour & Public Health",NA,"manual","publisher",NA,NA
"Academy Journals","Journal of Trends in Chemistry ",NA,"manual","publisher",NA,NA
"Academy Journals","Journal of  OMICS Research",NA,"manual","publisher",NA,NA
"Academy Journals","Current Cellular Biochemistry ",NA,"manual","publisher",NA,NA
"Academy Journals","Material Science","Upcoming","manual","publisher",NA,NA
"Academy Journals","Journal of Applied Physics","Upcoming","manual","publisher",NA,NA
"Academy Journals","Electrical and Electronics Engineering","Upcoming","manual","publisher",NA,NA
"Academy Journals","Journal of Physical Chemistry","Upcoming","manual","publisher",NA,NA
